date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:36:46	57364/57364	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%226159af10-e014%22	http://stukram.mikhailmasterov.com/html/js/main.js	D:/PROJETS/FREELANCE/portf/stukram.mikhailmasterov.com/html/js/main.js	(from http://stukram.mikhailmasterov.com/html/home-5.html)
11:37:01	146192/146192	---M--	200	added ('OK')	image/jpeg	etag:%226159af0f-23b10%22	http://stukram.mikhailmasterov.com/html/img/projects/vertical/6.jpg	D:/PROJETS/FREELANCE/portf/stukram.mikhailmasterov.com/html/img/projects/vertical/6.jpg	(from http://stukram.mikhailmasterov.com/html/home-5.html)
11:37:05	357056/357056	---M--	200	added ('OK')	image/jpeg	etag:%226159af0f-572c0%22	http://stukram.mikhailmasterov.com/html/img/projects/vertical/1.jpg	D:/PROJETS/FREELANCE/portf/stukram.mikhailmasterov.com/html/img/projects/vertical/1.jpg	(from http://stukram.mikhailmasterov.com/html/home-5.html)
11:37:13	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%226159af07-2876e%22	http://stukram.mikhailmasterov.com/html/fonts/fontawesome-webfont.eot?v=4.7.0	D:/PROJETS/FREELANCE/portf/stukram.mikhailmasterov.com/html/fonts/fontawesome-webfont3e6e.eot	(from http://stukram.mikhailmasterov.com/html/css/vendors.css)
11:37:18	77160/77160	---M--	200	added ('OK')	application/font-woff2	etag:%226159af07-12d68%22	http://stukram.mikhailmasterov.com/html/fonts/fontawesome-webfont.woff2?v=4.7.0	D:/PROJETS/FREELANCE/portf/stukram.mikhailmasterov.com/html/fonts/fontawesome-webfont3e6e.woff2	(from http://stukram.mikhailmasterov.com/html/css/vendors.css)
11:37:28	278972/278972	---M--	200	added ('OK')	image/jpeg	etag:%226159af07-441bc%22	http://stukram.mikhailmasterov.com/html/img/backgrounds/5.jpg	D:/PROJETS/FREELANCE/portf/stukram.mikhailmasterov.com/html/img/backgrounds/5.jpg	(from http://stukram.mikhailmasterov.com/html/home-5.html)
11:37:28	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%226159af07-2876e%22	http://stukram.mikhailmasterov.com/html/fonts/fontawesome-webfont.eot?	D:/PROJETS/FREELANCE/portf/stukram.mikhailmasterov.com/html/fonts/fontawesome-webfontd41d.eot	(from http://stukram.mikhailmasterov.com/html/css/vendors.css)
11:37:31	1224/1224	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%226159af07-4c8%22	http://stukram.mikhailmasterov.com/html/fonts/icomoon.eot?ipuuib	D:/PROJETS/FREELANCE/portf/stukram.mikhailmasterov.com/html/fonts/icomoona910.eot	(from http://stukram.mikhailmasterov.com/html/css/vendors.css)
11:37:32	98024/98024	---M--	200	added ('OK')	application/font-woff	etag:%226159af07-17ee8%22	http://stukram.mikhailmasterov.com/html/fonts/fontawesome-webfont.woff?v=4.7.0	D:/PROJETS/FREELANCE/portf/stukram.mikhailmasterov.com/html/fonts/fontawesome-webfont3e6e.woff	(from http://stukram.mikhailmasterov.com/html/css/vendors.css)
11:37:34	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226159af07-6c7db%22	http://stukram.mikhailmasterov.com/html/fonts/fontawesome-webfont.svg?v=4.7.0	D:/PROJETS/FREELANCE/portf/stukram.mikhailmasterov.com/html/fonts/fontawesome-webfont3e6e.svg	(from http://stukram.mikhailmasterov.com/html/css/vendors.css)
